symptoms,disease
"weight loss, dry cough",Typhoid
"fatigue, skin rash, severe headache, vomiting, nausea, mild bleeding, pain behind eyes, severe joint and muscle pain",Dengue
"weakness, chest pain",Anemia
"tenderness and stiffness, constipation, elevated blood cholesterol, impaired memory, puffy face",Hypothyroidism
"fatigue, frequent urination, unintended weight loss, blurred vision, frequent infections, increased thirst",Diabetes Type 2
"nausea, headache, vomiting, fever with shaking chills, diarrhea",Malaria
"low-grade fever, slight body aches, mild headache, congestion, malaise",Common Cold
"frequent infections, increased thirst, blurred vision, fatigue, areas of darkened skin, frequent urination, numbness or tingling in the hands or feet, increased hunger, slow-healing sores, unintended weight loss",Diabetes Type 2
"skin rash, fatigue, nausea",Dengue
"cold hands and feet, dizziness or lightheadedness, fatigue, chest pain, headache, irregular heartbeats",Anemia
"abdominal pain, headache, diarrhea, fever with shaking chills, nausea",Malaria
"puffy face, tenderness and stiffness, fatigue, elevated blood cholesterol, muscle weakness, dry skin, constipation, muscle aches, pain, stiffness or swelling in your joints, weight gain, thinning hair, increased sensitivity to cold, heavy or irregular menstrual periods, depression, impaired memory, hoarseness, slowed heart rate",Hypothyroidism
"pale or yellowish skin, headache, dizziness or lightheadedness, chest pain, cold hands and feet, weakness",Anemia
"headache, measured high fever",Viral Fever
"shortness of breath, cold hands and feet, dizziness or lightheadedness, headache, irregular heartbeats, weakness, pale or yellowish skin",Anemia
"malaise, low-grade fever, cough, runny or stuffy nose, congestion, sore throat, sneezing",Common Cold
"severe headache, nausea, pain behind eyes, mild bleeding, sudden high fever",Dengue
"irregular heartbeats, pale or yellowish skin, weakness, headache, dizziness or lightheadedness, cold hands and feet, shortness of breath",Anemia
"irregular heartbeats, chest pain, cold hands and feet, weakness, headache, shortness of breath",Anemia
"frequent infections, areas of darkened skin, numbness or tingling in the hands or feet, frequent urination, blurred vision",Diabetes Type 2
"increased sensitivity to cold, impaired memory, hoarseness, slowed heart rate, dry skin",Hypothyroidism
"vomiting, nausea",Dengue
"abdominal pain, headache, prolonged fever, weakness",Typhoid
"weight gain, dry skin, muscle aches",Hypothyroidism
"fatigue, areas of darkened skin, unintended weight loss, slow-healing sores, frequent urination, numbness or tingling in the hands or feet, increased thirst, frequent infections",Diabetes Type 2
"cough, runny or stuffy nose",Common Cold
skin rash,Dengue
"unintended weight loss, slow-healing sores, fatigue, numbness or tingling in the hands or feet, increased thirst",Diabetes Type 2
"mild headache, sneezing, congestion, cough, slight body aches, low-grade fever, sore throat, runny or stuffy nose",Common Cold
"pain behind eyes, vomiting, fatigue, severe headache, nausea, mild bleeding, skin rash, sudden high fever",Dengue
unintended weight loss,Diabetes Type 2
"cough, low-grade fever, sore throat, congestion, slight body aches, sneezing, runny or stuffy nose",Common Cold
"fatigue, headache, measured high fever, weakness, chills, loss of appetite",Viral Fever
"elevated blood cholesterol, muscle aches, slowed heart rate, impaired memory, weight gain, hoarseness, fatigue, thinning hair, puffy face, heavy or irregular menstrual periods, increased sensitivity to cold, pain, stiffness or swelling in your joints",Hypothyroidism
"sweating, abdominal pain, headache, muscle pain, diarrhea, vomiting, fever with shaking chills",Malaria
"anemia, vomiting, diarrhea, abdominal pain, headache",Malaria
sudden high fever,Dengue
"measured high fever, weakness, headache, body ache",Viral Fever
"sneezing, slight body aches, mild headache, runny or stuffy nose, sore throat, congestion, low-grade fever, malaise, cough",Common Cold
"muscle pain, fever with shaking chills, anemia, vomiting",Malaria
"headache, vomiting, diarrhea, anemia, abdominal pain, nausea, fever with shaking chills, sweating, muscle pain",Malaria
"vomiting, diarrhea",Malaria
